"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2509","TC-PING-001: Health check endpoint is reachable","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.ping.PingTests","com.flamingo.qa.api.ping.PingTests","pingHealthCheck"
"","102","TC-GQL-N03: Query a movie with a non-existent id returns null data","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","queryMovieWithNonExistentId"
"","160","TC-BOOK-008: Get booking ids filtered by checkin/checkout date returns a valid list","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsFilteredByCheckinAndCheckout"
"","66","TC-BOOK-001: Create booking with valid data returns the created booking","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","createBookingWithValidData"
"","126","TC-BOOK-N02: Update booking without an auth token returns 403","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","updateBookingWithoutAuthToken"
"","107","TC-BOOK-005: Delete booking with a valid token removes the booking","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","deleteBookingWithValidToken"
"","125","TC-BOOK-007: Get booking ids filtered by first/last name includes the matching booking","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","getBookingIdsFilteredByFirstNameAndLastName"
"","78","TC-GQL-004: Query movies connection returns pagination info","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLPositiveTests","com.flamingo.qa.api.graphql.GraphQLPositiveTests","queryMoviesConnection"
"","63","TC-BOOK-N01: Get booking with a non-existent id returns 404","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","getBookingWithNonExistentId"
"","211","TC-BOOK-N03: Delete booking without an auth token returns 403","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingNegativeTests","com.flamingo.qa.api.booking.BookingNegativeTests","deleteBookingWithoutAuthToken"
"","64","TC-GQL-N02: Query with malformed syntax returns a GraphQL syntax error","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.graphql.GraphQLNegativeTests","com.flamingo.qa.api.graphql.GraphQLNegativeTests","queryWithMalformedSyntax"
"","106","TC-BOOK-009: Update booking (PUT) with Basic auth updates all fields","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.booking.BookingCrudTests","com.flamingo.qa.api.booking.BookingCrudTests","updateBookingWithBasicAuth"
"","126","TC-AUTH-001: Successful authentication returns a valid token","","2026-09-17","passed","2026-09-17","","com.flamingo.qa.api.auth.AuthTests","com.flamingo.qa.api.auth.AuthTests","createTokenWithValidCredentials"
